"id","value"
"TemporaryArchitecture.civic.community&space",""
"TemporaryArchitecture.civic.community&space.Community&Hub_Sumner","220"
"TemporaryArchitecture.civic.exhibition",""
"TemporaryArchitecture.civic.exhibition.Canterbury&Quakes","348"
"TemporaryArchitecture.civic.exhibition.Quake&City","342"
"TemporaryArchitecture.civic.exhibition.Quake&Map","344"
"TemporaryArchitecture.civic.exhibition.reconstruction&of&a&city","48"
"TemporaryArchitecture.civic.housing",""
"TemporaryArchitecture.civic.housing.Temporary&Housing","280"
"TemporaryArchitecture.civic.libraries",""
"TemporaryArchitecture.civic.libraries.temporary&libraries","40"
"TemporaryArchitecture.civic.libraries.Think&Differently&Book&Exchange","166"
"TemporaryArchitecture.civic.office&space",""
"TemporaryArchitecture.civic.office&space.rebuild&central","38"
"TemporaryArchitecture.civic.planning",""
"TemporaryArchitecture.civic.planning.Share&An&Idea","274"
"TemporaryArchitecture.civic.planning.The&frame","136"
"TemporaryArchitecture.civic.public&safetySLASHexlusion",""
"TemporaryArchitecture.civic.public&safetySLASHexlusion.red&zone","134"
"TemporaryArchitecture.civic.public&space&improvement",""
"TemporaryArchitecture.civic.public&space&improvement.Arcades&Project","152"
"TemporaryArchitecture.civic.public&space&improvement.colombo&street&","44"
"TemporaryArchitecture.civic.public&space&improvement.temporary&bus&exchange","46"
"TemporaryArchitecture.civic.public&space&improvement.temporary&oxford&street",""
"TemporaryArchitecture.civic.sports",""
"TemporaryArchitecture.civic.sports.Christchurch&Stadium","270"
"TemporaryArchitecture.civic.sports.Lyttelton&Downhill","364"
"TemporaryArchitecture.commercial",""
"TemporaryArchitecture.commercial.bar",""
"TemporaryArchitecture.commercial.bar.Jungle&Patrol","126"
"TemporaryArchitecture.commercial.bar.Porthole","278"
"TemporaryArchitecture.commercial.bar.SamoCafe","96"
"TemporaryArchitecture.commercial.bar.Smash&Palace","198"
"TemporaryArchitecture.commercial.bar.The&Flying&Cup","262"
"TemporaryArchitecture.commercial.broadcast",""
"TemporaryArchitecture.commercial.broadcast.RDUnit","16"
"TemporaryArchitecture.commercial.festivalSLASHevent",""
"TemporaryArchitecture.commercial.festivalSLASHevent.luxcity","50"
